iter s1 s2 s3 s4 s5
1 377 465 375 361 383
2 404 465 396 361 455
3 470 465 483 524 532
4 558 499 540 686 532
5 558 583 656 686 607
6 598 744 744 686 676
7 598 744 744 686 676
8 715 744 814 761 699
9 715 744 889 761 699
10 715 819 889 845 771
11 715 912 889 845 899
12 771 991 889 845 899
13 878 991 948 845 1008
14 950 991 948 917 1008
15 950 991 948 1024 1008
16 950 1068 948 1024 1008
17 958 1068 1025 1024 1008
18 958 1068 1025 1024 1008
19 958 1143 1025 1024 1083
20 1048 1143 1100 1024 1083
21 1048 1213 1177 1080 1163
22 1116 1213 1177 1080 1163
23 1131 1213 1177 1080 1163
24 1131 1213 1177 1080 1163
25 1131 1213 1177 1080 1163
26 1131 1213 1177 1117 1212
27 1215 1241 1177 1117 1288
28 1215 1241 1177 1117 1316
29 1215 1241 1185 1117 1316
30 1215 1241 1185 1117 1316
31 1215 1241 1185 1117 1316
32 1215 1241 1185 1117 1360
33 1281 1241 1185 1117 1360
34 1281 1241 1185 1117 1360
35 1351 1241 1185 1117 1425
36 1351 1311 1185 1117 1425
37 1351 1377 1185 1117 1425
38 1351 1377 1185 1117 1425
39 1351 1377 1185 1117 1425
40 1351 1377 1185 1135 1425
41 1351 1377 1185 1135 1425
42 1425 1377 1185 1159 1425
43 1495 1377 1185 1159 1425
44 1495 1377 1233 1159 1425
45 1495 1377 1233 1159 1425
46 1495 1377 1233 1159 1425
47 1495 1377 1233 1212 1425
48 1495 1377 1262 1212 1425
49 1495 1377 1321 1282 1425
50 1495 1377 1321 1282 1425
51 1567 1377 1321 1282 1425
52 1567 1377 1321 1282 1425
53 1567 1377 1321 1282 1425
54 1567 1377 1321 1361 1425
55 1567 1377 1375 1361 1425
56 1567 1377 1375 1361 1425
57 1567 1377 1375 1361 1425
58 1567 1377 1375 1437 1425
59 1567 1377 1375 1437 1425
60 1567 1377 1422 1437 1425
61 1567 1377 1422 1437 1425
62 1643 1447 1422 1437 1425
63 1643 1447 1422 1437 1425
64 1643 1447 1422 1437 1425
65 1643 1447 1422 1437 1425
66 1643 1447 1422 1437 1425
67 1643 1447 1422 1475 1425
68 1732 1447 1422 1475 1425
69 1732 1447 1422 1475 1425
70 1732 1447 1509 1475 1425
71 1732 1506 1509 1475 1425
72 1732 1506 1509 1540 1425
73 1732 1506 1509 1540 1425
74 1732 1506 1558 1540 1425
75 1816 1506 1558 1540 1425
76 1816 1506 1558 1540 1425
77 1816 1506 1558 1540 1425
78 1816 1506 1579 1540 1467
79 1816 1506 1579 1540 1467
80 1816 1506 1624 1540 1467
81 1816 1506 1624 1540 1467
82 1816 1513 1624 1540 1467
83 1816 1513 1624 1540 1467
84 1816 1513 1624 1540 1467
85 1816 1513 1624 1540 1467
86 1816 1513 1624 1540 1467
87 1816 1577 1624 1540 1467
88 1816 1577 1691 1540 1467
89 1816 1577 1691 1540 1467
90 1816 1577 1691 1540 1467
91 1816 1577 1691 1540 1467
92 1816 1577 1691 1540 1467
93 1816 1577 1691 1540 1467
94 1816 1577 1691 1540 1467
95 1816 1584 1691 1540 1467
96 1816 1584 1691 1540 1467
97 1816 1584 1691 1540 1467
98 1816 1584 1691 1540 1467
99 1816 1584 1691 1540 1467
100 1816 1584 1691 1540 1467
