iter abc_mean abc_min abc_max bee_mean bee_min bee_max
1 392.20 361 465 386.20 319 461
2 416.20 361 465 472.20 334 612
3 494.80 465 532 485.60 334 612
4 563.00 499 686 485.60 334 612
5 618.00 558 686 485.60 334 612
6 689.60 598 744 485.60 334 612
7 689.60 598 744 485.60 334 612
8 746.60 699 814 485.60 334 612
9 761.60 699 889 512.20 461 612
10 807.80 715 889 512.20 461 612
11 852.00 715 912 512.20 461 612
12 879.00 771 991 512.20 461 612
13 934.00 845 1008 512.20 461 612
14 962.80 917 1008 512.20 461 612
15 984.20 948 1024 519.20 461 612
16 999.60 948 1068 519.20 461 612
17 1016.60 958 1068 519.20 461 612
18 1016.60 958 1068 519.20 461 612
19 1046.60 958 1143 519.20 461 612
20 1079.60 1024 1143 519.20 461 612
21 1136.20 1048 1213 519.20 461 612
22 1149.80 1080 1213 519.20 461 612
23 1152.80 1080 1213 519.20 461 612
24 1152.80 1080 1213 519.20 461 612
25 1152.80 1080 1213 519.20 461 612
26 1170.00 1117 1213 519.20 461 612
27 1207.60 1117 1288 542.80 461 730
28 1213.20 1117 1316 556.20 461 730
29 1214.80 1117 1316 556.20 461 730
30 1214.80 1117 1316 565.40 461 730
31 1214.80 1117 1316 565.40 461 730
32 1223.60 1117 1360 567.20 461 730
33 1236.80 1117 1360 598.40 461 730
34 1236.80 1117 1360 598.40 461 730
35 1263.80 1117 1425 598.40 461 730
36 1277.80 1117 1425 598.40 461 730
37 1291.00 1117 1425 598.40 461 730
38 1291.00 1117 1425 598.40 461 730
39 1291.00 1117 1425 598.40 461 730
40 1294.60 1135 1425 598.40 461 730
41 1294.60 1135 1425 598.40 461 730
42 1314.20 1159 1425 598.40 461 730
43 1328.20 1159 1495 598.40 461 730
44 1337.80 1159 1495 598.40 461 730
45 1337.80 1159 1495 598.40 461 730
46 1337.80 1159 1495 598.40 461 730
47 1348.40 1212 1495 598.40 461 730
48 1354.20 1212 1495 598.40 461 730
49 1380.00 1282 1495 598.40 461 730
50 1380.00 1282 1495 598.40 461 730
51 1394.40 1282 1567 598.40 461 730
52 1394.40 1282 1567 598.40 461 730
53 1394.40 1282 1567 598.40 461 730
54 1410.20 1321 1567 598.40 461 730
55 1421.00 1361 1567 598.40 461 730
56 1421.00 1361 1567 598.40 461 730
57 1421.00 1361 1567 598.40 461 730
58 1436.20 1375 1567 598.40 461 730
59 1436.20 1375 1567 598.40 461 730
60 1445.60 1377 1567 598.40 461 730
61 1445.60 1377 1567 598.40 461 730
62 1474.80 1422 1643 640.00 537 730
63 1474.80 1422 1643 640.00 537 730
64 1474.80 1422 1643 640.00 537 730
65 1474.80 1422 1643 640.00 537 730
66 1474.80 1422 1643 640.00 537 730
67 1482.40 1422 1643 640.00 537 730
68 1500.20 1422 1732 640.00 537 730
69 1500.20 1422 1732 640.00 537 730
70 1517.60 1425 1732 660.60 537 730
71 1529.40 1425 1732 704.40 537 887
72 1542.40 1425 1732 704.40 537 887
73 1542.40 1425 1732 704.40 537 887
74 1552.20 1425 1732 704.40 537 887
75 1569.00 1425 1816 704.40 537 887
76 1569.00 1425 1816 704.40 537 887
77 1569.00 1425 1816 704.40 537 887
78 1581.60 1467 1816 704.40 537 887
79 1581.60 1467 1816 704.40 537 887
80 1590.60 1467 1816 704.40 537 887
81 1590.60 1467 1816 704.40 537 887
82 1592.00 1467 1816 704.40 537 887
83 1592.00 1467 1816 704.40 537 887
84 1592.00 1467 1816 704.40 537 887
85 1592.00 1467 1816 704.40 537 887
86 1592.00 1467 1816 704.40 537 887
87 1604.80 1467 1816 704.40 537 887
88 1618.20 1467 1816 704.40 537 887
89 1618.20 1467 1816 704.40 537 887
90 1618.20 1467 1816 704.40 537 887
91 1618.20 1467 1816 704.40 537 887
92 1618.20 1467 1816 704.40 537 887
93 1618.20 1467 1816 704.40 537 887
94 1618.20 1467 1816 704.40 537 887
95 1619.60 1467 1816 704.40 537 887
96 1619.60 1467 1816 704.40 537 887
97 1619.60 1467 1816 704.40 537 887
98 1619.60 1467 1816 704.40 537 887
99 1619.60 1467 1816 704.40 537 887
100 1619.60 1467 1816 704.40 537 887
